date,open,close,high,low,volume,amount
2006-03-21,1037.95,1040.76,1047.05,1036.24,19077662.0,19855267503.12
2006-03-22,1041.14,1047.67,1047.94,1036.71,18640575.0,19529171210.25
2006-03-23,1047.35,1048.54,1049.33,1042.83,20467885.0,21461396137.899998
2006-03-24,1049.12,1042.6,1051.76,1041.23,20098237.0,20954421896.199997
2006-03-27,1042.63,1050.71,1050.71,1037.08,17134070.0,18002938689.7
2006-03-28,1050.07,1055.98,1056.52,1048.64,22273999.0,23520897464.02
2006-03-29,1058.74,1065.29,1074.04,1057.68,30526345.0,32519410065.05
2006-03-30,1065.84,1055.63,1067.99,1055.14,22012494.0,23237049041.22
2006-03-31,1053.85,1061.09,1061.47,1050.22,22276190.0,23637042447.1
2006-04-03,1061.96,1079.32,1079.37,1061.96,27729761.0,29929285642.519997
2006-04-04,1080.86,1089.37,1089.37,1076.2,31148757.0,33932521413.089996
2006-04-05,1091.18,1099.97,1100.56,1089.55,32936914.0,36229617292.58
2006-04-06,1102.54,1103.24,1109.68,1097.32,36167049.0,39900935138.76
2006-04-07,1102.94,1103.15,1105.1,1091.89,32570860.0,35930544209.0
2006-04-10,1104.32,1117.91,1118.08,1100.69,32067520.0,35848601283.200005
2006-04-11,1120.16,1123.31,1126.09,1112.01,35607520.0,39998283291.2
2006-04-12,1123.78,1117.07,1123.78,1116.15,30333845.0,33885028234.149998
2006-04-13,1116.84,1093.93,1122.39,1093.51,33824146.0,37001248033.78
2006-04-14,1091.69,1118.61,1118.67,1091.67,33527962.0,37504713572.82
2006-04-17,1120.19,1124.41,1129.15,1114.53,35704548.0,40146550816.68
2006-04-18,1127.51,1131.28,1135.45,1119.27,32317223.0,36559828035.44
2006-04-19,1135.61,1138.24,1140.41,1125.2,34322898.0,39067695419.52
2006-04-20,1139.64,1134.38,1142.54,1127.09,37885651.0,42976724781.380005
2006-04-21,1133.21,1149.16,1152.89,1127.65,40772910.0,46854597255.600006
2006-04-24,1156.91,1142.7,1160.58,1135.75,45936219.0,52491317451.3
2006-04-25,1139.5,1141.93,1149.54,1123.1,38611125.0,44091201971.25
2006-04-26,1142.9,1155.73,1162.02,1142.07,41824301.0,48337599394.73
2006-04-27,1157.38,1155.27,1159.9,1145.26,31980451.0,36946055626.77
2006-04-28,1143.59,1172.35,1173.88,1133.19,40801858.0,47834058226.299995
2006-05-08,1179.58,1218.44,1218.86,1179.58,44912821.0,54723577619.240005
2006-05-09,1226.31,1251.61,1252.76,1222.68,55993861.0,70082476366.20999
2006-05-10,1257.98,1265.93,1273.68,1243.47,55667043.0,70470579744.99
2006-05-11,1267.22,1255.04,1294.87,1254.35,61133725.0,76725270224.0
2006-05-12,1255.23,1296.26,1296.38,1252.68,54920331.0,71191028262.06
2006-05-15,1312.14,1352.16,1352.41,1301.8,73534005.0,99429740200.8
2006-05-16,1368.13,1331.13,1387.4,1322.14,79658170.0,106035379832.1
2006-05-17,1331.69,1335.52,1356.13,1306.87,61823287.0,82566236254.24
2006-05-18,1322.65,1331.2,1340.52,1301.11,52056363.0,69297430425.6
2006-05-19,1334.07,1366.1,1371.22,1329.32,67123869.0,91697917440.9
2006-05-22,1366.32,1373.67,1387.57,1360.35,66262172.0,91022357811.24
2006-05-23,1365.1,1317.65,1365.1,1316.55,56872388.0,74937902048.20001
